债务人名称|所在地区|担保方式|资产类型|债权总额（元）|结束时间
湖南盛华纸业有限公司|湖南省长沙市开福区|保证担保及抵质押担保|工业用地|7950839.9|2022-08-23
衡阳市恒力房地产开发公司|湖南省衡阳市雁峰区|保证担保||9980000.0|2022-08-23
陇西县志奇中药材加工厂|甘肃省定西市陇西县|抵质押担保|非标准工业厂房及仓储|19148594.12|2023-08-23
兰州军悦商贸有限公司|甘肃省兰州市七里河区|保证担保及抵质押担保|商铺、商场|23854776.49|2023-08-23
浙江康润机械科技有限公司|浙江省湖州市吴兴区|保证担保||1182159.1|2022-08-31
宁波市鄞州区展翅贸易有限公司|浙江省宁波市鄞州区|保证担保||7216276.04|2022-08-23
中标集团总包建设有限公司|北京市丰台区|保证担保及抵质押担保|多层办公楼,其他|100148200.0|2022-08-23
冠县永联物流有限公司|北京市丰台区|三种担保都有|商铺、商场|518940760.01|2022-08-23
北京易丰国际贸易有限公司|北京市朝阳区|保证担保及抵质押担保|普通商品用房|48295900.0|2022-08-23
北京联合金投工程科技有限公司|北京市海淀区|保证担保||18145303.97|2022-08-23
沈阳久泰玻璃幕墙有限公司|辽宁省沈阳市辽中区|保证担保及抵质押担保|商铺、商场|2581857.78|2023-12-31
四川临江寺味业有限公司|四川省资阳市雁江区|保证担保及抵质押担保|非标准工业厂房及仓储,工业用地|18550116.0|2022-12-30
四川省盛旺农牧业有限公司|四川省资阳市安岳县|保证担保及抵质押担保|非标准工业厂房及仓储,工业用地|18475570.83|2022-12-30
四川华远医疗科技有限公司 |四川省绵阳市|抵质押担保|居住用地|15975311.1|2022-08-31
重庆网盛线缆有限公司|重庆市市辖区沙坪坝区|保证担保及抵质押担保|商铺、商场|37784137.17|2022-08-31
四川省杨森乳业有限责任公司|四川省成都市简阳市|保证担保||16291212.14|2022-12-30
深圳市新威创投资有限公司|广东省深圳市南山区|保证担保及抵质押担保|商铺、商场|38827013.2|2021-09-30
鄂州市恒鑫盛矿业有限责任公司|湖北省鄂州市|保证担保及抵质押担保|商铺、商场|19100122.2|2024-08-09
襄阳市古城厚德文化传播中心|湖北省襄阳市襄城区|保证担保及抵质押担保|其他用地,商品林中的林木及林地使用权,商业用地,商业用房在建工程|347864331.14|2024-08-09
介休路鑫成品油仓储有限公司|山西省晋中市介休市|保证担保及抵质押担保|非上市公司股权|245629142.68|2022-02-28
东方粮油工业江苏有限公司|江苏省镇江市丹阳市|保证担保||2211284.3|2022-08-23
钱江弹簧（北京）有限公司|北京市顺义区|保证担保及抵质押担保|工业用地|109133114.63|2022-08-23
北京太行双辰商贸有限公司|北京市西城区|保证担保||7519696.01|2022-08-23
春和集团有限公司|北京市朝阳区|保证担保及抵质押担保|非上市公司股权|187901834.96|2022-08-23
四环生物产业集团有限公司|北京市朝阳区|保证担保||130069578.86|2022-08-23
中信国安集团有限公司|北京市西城区|抵质押担保|普通商品用房|253478800.0|2021-06-30
深圳市永达通供应链有限公司|广东省深圳市南山区|保证担保及抵质押担保|商铺、商场|72637831.18|2021-09-30
深圳市福麒珠宝首饰有限公司|广东省深圳市罗湖区|保证担保及抵质押担保|标准工业厂房及仓储|98703586.51|2021-12-31
深圳市协勤实业有限公司|广东省深圳市南山区|保证担保||31079220.8|2021-12-31
东莞市电力燃料有限公司|广东省东莞市|保证担保||255300000.0|2021-09-30
深圳市粤群龙发展有限公司|广东省深圳市龙岗区|保证担保及抵质押担保|普通商品用房,商铺、商场|45874236.52|2021-12-31
文山金帝矿业有限公司|云南省文山壮族苗族自治州文山市|保证担保及抵质押担保|商铺、商场|63573413.72|2023-08-23
临沧市伟龙商贸有限责任公司|云南省临沧市临翔区|保证担保及抵质押担保|居住用地|35586386.76|2022-08-31
永德县金祥实业有限公司|云南省临沧市永德县|保证担保及抵质押担保|商铺、商场|24986037.85|2023-08-23
临沧澜沧江茶业有限公司|云南省临沧市|保证担保及抵质押担保|非标准工业厂房及仓储,居住用地|43588777.03|2023-08-22
临沧市然君商贸有限责任公司|云南省临沧市临翔区|保证担保及抵质押担保|居住用地|41831085.91|2023-08-23
文山三鑫矿业有限公司|云南省文山壮族苗族自治州文山市|保证担保及抵质押担保|商铺、商场|70026410.91|2023-08-23
宣威市傲龙装饰有限责任公司|云南省曲靖市宣威市|保证担保及抵质押担保|普通商品用房|29513145.75|2023-09-01
文山天嘉建材经营有限公司|云南省文山壮族苗族自治州文山市|保证担保及抵质押担保|工业用地|57042476.95|2023-08-23
佛山市顺德区洮钢商贸有限公司|广东省佛山市顺德区|信用担保及保证担保||63502303.96|2021-09-30
深圳市广业投资股份有限公司|广东省深圳市南山区|保证担保及抵质押担保|商铺、商场|93466407.69|2021-09-30
深圳市庆鹏石油化工经销有限公司|广东省深圳市罗湖区|保证担保及抵质押担保|工业用地|56595915.36|2021-09-30
河北九道食品科技集团有限公司|河北省石家庄市|保证担保及抵质押担保|标准工业厂房及仓储,工业用地|36815824.55|2022-12-31
石家庄润鑫房地产开发有限公司|河北省石家庄市长安区|保证担保及抵质押担保|商铺、商场,商业用地|725207800.81|2022-12-31
赞皇县中意商贸有限责任公司|河北省石家庄市赞皇县|保证担保及抵质押担保|商铺、商场|26654505.52|2022-12-31
宁波中源办公文具有限公司|浙江省宁波市|保证担保||22038627.34|2022-08-23
宁波瑜晶新型材料有限公司|浙江省宁波市|保证担保||13546649.69|2022-08-31
宁波市吴泰进出口股份有限公司|浙江省宁波市江北区|保证担保||125556272.75|2022-08-23
余姚市贝贝塑化有限公司|浙江省宁波市余姚市|保证担保||23867096.95|2022-08-23
宁波侨益物资有限公司|浙江省宁波市鄞州区|保证担保||2778733.96|2022-08-23
宁波新旺构件有限公司|浙江省宁波市|抵质押担保|车位、车库等其他商业用房|9031644.11|2022-08-31
宁波诺冠国际贸易有限公司|浙江省宁波市|保证担保||109998425.21|2022-08-23
宁波银鸽贸易有限公司|浙江省宁波市鄞州区|保证担保||26079261.88|2022-08-23
宁波信生光纤科技有限公司|浙江省宁波市|保证担保||19948639.55|2022-08-31
宁波市海曙威明达服饰有限公司|浙江省宁波市海曙区|保证担保||1286359.48|2022-08-23
新疆华春毛纺有限公司|新疆维吾尔自治区五家渠市|保证担保及抵质押担保|商铺、商场,商业用地|7796772.85|2021-09-30
新疆新宏方房地产开发有限公司|新疆维吾尔自治区伊犁哈萨克自治州奎屯市|保证担保及抵质押担保|商铺、商场|4619541.89|2022-02-28
山东惠宝装饰工程有限公司|山东省淄博市张店区|保证担保||5682250.62|2022-08-31
淄博大有橡胶有限公司|山东省淄博市张店区|保证担保||3741228.14|2022-08-31
淄博韬普经贸有限公司|山东省淄博市张店区|保证担保||3261120.06|2022-08-31
淄博奥能电器有限公司|山东省淄博市张店区|保证担保||4336578.26|2022-08-31
淄博维亮工贸有限公司|山东省淄博市张店区|保证担保及抵质押担保|商铺、商场|11358035.66|2022-08-31
烟台海诚高科技有限公司|山东省烟台市莱山区|保证担保及抵质押担保|非标准工业厂房及仓储|117139941.99|2022-08-24
冠县恒远重工机械制造有限公司|山东省聊城市冠县|保证担保及抵质押担保|工业用地|11001581.66|2022-08-30
淄博勤发经贸有限公司|山东省淄博市临淄区|保证担保||5145900.04|2022-08-31
淄博龙啸天文化传播有限公司|山东省淄博市张店区|保证担保及抵质押担保|商铺、商场|8912321.74|2022-08-31
宁波市天仑塑料科技有限公司|浙江省宁波市慈溪市|保证担保||5566050.62|2022-08-23
宁波洋气贸易有限公司|浙江省宁波市|保证担保||3672467.49|2022-12-30
山东锦华电力设备有限公司|山东省淄博市张店区|保证担保||38093321.42|2022-08-31
淄博政联装饰材料城有限公司|山东省淄博市张店区|保证担保及抵质押担保|商铺、商场,商业用地|21067196.3|2022-08-31
山东中普铜业有限公司|山东省滨州市邹平市|保证担保及抵质押担保|工业用地|131682036.75|2022-08-31
山东灵岩重工机械有限公司|山东省淄博市桓台县|保证担保||5101772.07|2022-08-31
山东利唐源国际贸易有限公司|山东省淄博市临淄区|保证担保||4559899.48|2022-08-31
淄博银收经贸有限公司|山东省淄博市临淄区|保证担保||7628201.34|2022-08-31
山东星源矿山设备集团有限公司|山东省济宁市鱼台县|保证担保及抵质押担保|其他行业专用设备|16685435.54|2021-12-31
山东新基立实业集团有限公司|山东省济南市|保证担保及抵质押担保|宾馆酒店|15381861.42|2021-12-31
山东省农业生产资料有限责任公司|山东省济南市历下区|保证担保||83318570.88|2022-08-31
山东布莱凯特黑牛科技股份有限公司|山东省淄博市高青县|保证担保||104590885.89|2022-08-31
山东沂蒙山花生油股份有限公司|山东省淄博市沂源县|保证担保及抵质押担保|工业用地|75943954.81|2022-08-31
沂源凤凰塑编有限公司|山东省淄博市沂源县|保证担保及抵质押担保|工业用地|10634488.61|2022-09-30
淄博富瑞达化工有限公司|山东省淄博市临淄区|保证担保||49608791.83|2022-08-31
山东东风源化工有限公司|山东省淄博市临淄区|保证担保||5625379.82|2022-08-31
淄博朝安经贸有限公司|山东省淄博市张店区|保证担保||3588509.36|2022-08-31
淄博鸿安汽车销售服务有限公司|山东省淄博市张店区|保证担保||3768279.94|2022-08-31
淄博金斗经贸有限公司|山东省淄博市临淄区|保证担保||4882939.63|2022-08-31
淄博轩昂工贸有限公司|山东省淄博市张店区|保证担保||5995515.94|2022-08-31
淄博语灿经贸有限公司|山东省淄博市临淄区|保证担保||7253453.85|2022-08-31
淄博安兴化工有限公司|山东省淄博市临淄区|保证担保||5421730.81|2022-08-31
淄博祥财经贸有限公司|山东省淄博市临淄区|保证担保||7577441.75|2022-08-31
淄博德润金属制品有限责任公司|山东省淄博市淄川区|保证担保||3896724.95|2022-08-31
淄博赛通聚氨酯有限公司|山东省淄博市张店区|保证担保||9742522.52|2022-08-31
淄博隆典化工销售有限公司|山东省淄博市临淄区|保证担保||4334976.67|2022-08-31
淄博亮点工贸有限公司|山东省淄博市临淄区|保证担保||3692828.0|2022-08-31
淄博鹏川电器有限公司|山东省淄博市张店区|保证担保||3565960.27|2022-09-30
淄博鲁亿化工机械有限公司|山东省淄博市临淄区|保证担保||6178050.86|2022-08-31
北京鑫盛鑫旺商贸有限公司|北京市海淀区|保证担保及抵质押担保|多层办公楼|36201575.2|2022-08-23
新纺集团有限公司|浙江省湖州市|保证担保||19894827.3|2022-08-17
淄博银联电子技术有限公司|山东省淄博市张店区|保证担保||3429439.47|2022-08-31
宁波北斗科技有限公司|浙江省宁波市慈溪市|保证担保||12275264.48|2022-08-23
淄博大舞台音响工程有限公司|山东省淄博市张店区|保证担保||11425583.76|2022-08-31
宁波三旗金属制品有限公司|浙江省宁波市慈溪市|保证担保||15087800.76|2022-08-23
宁波禹诺日用品有限公司|浙江省宁波市|保证担保及抵质押担保|居住用地|10731416.15|2022-08-31
淄博安宝机械制动材料有限公司|山东省淄博市张店区|保证担保||24948917.64|2022-08-31
舟山市舟海海洋工程有限公司|浙江省舟山市|保证担保及抵质押担保|车位、车库等其他商业用房,综合用地|11575863.28|2022-12-30
淄博绿象橡胶有限公司|山东省淄博市张店区|保证担保||13452426.5|2022-08-31
淄博致臻汽车销售服务有限公司|山东省淄博市张店区|保证担保||3644981.76|2022-08-31
舟山亿达三和水产食品有限公司|浙江省舟山市|保证担保||6773228.5|2022-09-02
淄博路朗工贸有限公司|山东省淄博市张店区|保证担保||3948667.7|2022-09-30
栖霞市汇融果蔬有限公司|山东省烟台市栖霞市|保证担保及抵质押担保|非标准工业厂房及仓储|15486278.5|2022-08-24
宁波市昊华包装科技开发有限公司|浙江省宁波市鄞州区|保证担保||8842269.13|2022-08-23
北京中科联众科技股份有限公司|北京市海淀区|保证担保||14718189.79|2022-08-23
烟台金港水产有限公司|山东省烟台市蓬莱区|保证担保||42109257.56|2022-08-24
浙江新旺建设集团有限公司|浙江省宁波市|保证担保||12465750.4|2022-08-31
浙江大洋包装有限公司|浙江省嘉兴市海宁市|保证担保||9747744.0|2022-08-23
直立汽配有限公司|浙江省湖州市德清县|保证担保||29270974.25|2022-08-23
北京中环弘乔实业集团有限公司|北京市海淀区|保证担保及抵质押担保|商铺、商场|518541264.61|2022-08-23
宁波北仑东仁工贸有限公司|浙江省宁波市北仑区|保证担保||2694116.74|2022-08-23
宁波市北仑区鑫盛油品有限公司|浙江省宁波市北仑区|保证担保||3579277.02|2022-08-23
淄博晟茂盈商贸有限公司|山东省淄博市张店区|保证担保||2071964.88|2022-08-31
淄博金永润汽车销售有限公司|山东省淄博市张店区|保证担保||2492004.52|2022-08-31
山东淄博格伊佳服饰有限公司|山东省淄博市张店区|保证担保||3042598.06|2022-08-31
冠县华润特种轴承有限公司|山东省聊城市冠县|抵质押担保|工业用地|20392569.67|2022-08-31
远大海外经济投资发展有限公司|北京市朝阳区|保证担保及抵质押担保|非上市公司股权|362033281.16|2022-08-23
高唐县东大针织服装有限公司|山东省聊城市高唐县|保证担保及抵质押担保|工业用地|3558510.73|2022-08-31
高唐亿通工贸有限公司|山东省聊城市高唐县|抵质押担保|工业用地|6423303.46|2022-08-31
山东奥特锦熔铸配有限公司|山东省聊城市高唐县|保证担保||9821847.97|2022-08-31
山东高远高铁桥梁配件有限公司|山东省聊城市高唐县|保证担保及抵质押担保|工业用地|13942567.68|2022-08-31
山东洁宇化工有限公司|山东省聊城市高唐县|保证担保||9588531.05|2022-08-31
山东三立农业机械制造有限公司|山东省聊城市高唐县|保证担保及抵质押担保|工业用地|21934893.15|2022-08-31
烟台海浩土石方工程有限公司|山东省烟台市芝罘区|保证担保及抵质押担保|商铺、商场|15416298.58|2022-08-24
高唐县高信工贸有限公司|山东省聊城市高唐县|抵质押担保|工业用地|16041773.53|2022-08-31
甬商控股集团有限公司|浙江省宁波市江北区|保证担保||45871061.83|2022-08-23
冠县港海薄板有限公司|山东省聊城市冠县|抵质押担保|工业用地|19201781.17|2022-08-31
宁波森特泰华贸易有限公司|浙江省宁波市|保证担保||16899396.29|2022-08-31
山东惠泽农牧科技有限公司|山东省滨州市邹平市|保证担保及抵质押担保|非上市公司股权|30750644.73|2023-12-31
长兴中天国际贸易有限公司|浙江省湖州市长兴县|保证担保及抵质押担保|多层办公楼,普通商品用房,商铺、商场|26199146.95|2022-12-30
山东天雁服饰股份有限公司|山东省潍坊市诸城市|保证担保||40940063.93|2024-08-31
山东威力天地机械股份有限公司|山东省潍坊市青州市|保证担保||7213798.08|2024-08-31
巨野家家棉纺有限公司|山东省菏泽市巨野县|保证担保及抵质押担保|工业用地|14927300.0|2022-08-31
成武县海韵棉业有限公司|山东省菏泽市成武县|保证担保||2080984.39|2022-08-31
山东单县爱民贸易有限公司|山东省菏泽市单县|保证担保及抵质押担保|商铺、商场|8328383.96|2022-08-31
黄石市龙苑宾馆有限责任公司|湖北省黄石市黄石港区|保证担保及抵质押担保|宾馆酒店|7334120.5|2024-08-09
山东力丰重型机床有限公司|山东省滨州市惠民县|保证担保||0.0|2026-08-30
菏泽福美来医用包装有限公司|山东省菏泽市牡丹区|保证担保||12066675.26|2022-08-31
宁波五环机械有限公司|浙江省宁波市慈溪市|保证担保||71613443.58|2022-08-23
成武县银海棉业有限责任公司|山东省菏泽市成武县|保证担保||2977107.87|2022-08-31
余姚舜德进出口有限公司|浙江省宁波市余姚市|保证担保||62545850.61|2022-08-23
巨野通达蚕茧有限公司|山东省菏泽市巨野县|保证担保及抵质押担保|工业用地|3234900.0|2022-08-31
浙江欧客启发家具有限公司|浙江省宁波市慈溪市|保证担保||32208779.82|2022-08-23
临沂正科电子有限公司|山东省临沂市兰山区|保证担保||7324272.62|2022-08-31
莒南县福城粮油有限公司|山东省临沂市莒南县|保证担保||6229512.24|2022-09-30
名捷物流集团有限公司|浙江省舟山市普陀区|保证担保||109672540.33|2022-09-02
淄博丹杰商贸有限公司|山东省淄博市张店区|保证担保||3407064.25|2022-08-31
浙江舜泉实业有限公司|浙江省宁波市余姚市|保证担保||45810117.73|2022-08-23
淄博齐岑陶瓷有限公司|山东省淄博市张店区|保证担保||4967508.89|2022-08-31
淄博南迪贸易有限公司|山东省淄博市张店区|保证担保||4969994.04|2022-08-31
桐乡市阜利诺时装有限公司|浙江省嘉兴市桐乡市|保证担保||5371920.02|2022-08-23
淄博盖洛商贸有限公司|山东省淄博市张店区|保证担保||4952909.63|2022-08-31
淄博子妍经贸有限公司|山东省淄博市张店区|保证担保||4971997.79|2022-08-31
淄博迪巧商贸有限公司|山东省淄博市张店区|保证担保||4969848.16|2022-08-31
淄博腾瑞工贸有限公司|山东省淄博市临淄区|保证担保及抵质押担保|普通商品用房|7496193.36|2022-08-31
淄博吉勋工贸有限公司|山东省淄博市临淄区|保证担保||3296658.63|2022-08-31
山东鸿基机械科技有限公司|山东省东营市东营区|保证担保||54979124.6|2024-08-31
山东金羊特种车有限公司|山东省聊城市东昌府区|保证担保||11982491.75|2024-08-31
莱芜市祥光经贸有限公司|山东省济南市钢城区|保证担保||53035831.82|2024-08-31
山东久鸿工程机械有限公司|山东省济南市|保证担保||16460697.34|2024-08-31
山东艾利通新材料有限公司|山东省潍坊市青州市|保证担保||14005310.93|2024-08-31
山东冠洲股份有限公司|山东省聊城市冠县|保证担保||33907405.82|2024-08-31
宁波市朗格斯特电器有限公司|浙江省宁波市|保证担保||8277750.66|2022-12-30
浙江泰源铜业有限公司|浙江省衢州市常山县|保证担保||7645940.19|2022-08-23
慈溪锦隆汽车贸易有限公司|浙江省宁波市慈溪市|保证担保||16101741.47|2022-08-23
淄博聚恒化工有限公司|山东省淄博市临淄区|保证担保||1634779.14|2022-08-31
淄博臻木源工贸有限公司|山东省淄博市临淄区|保证担保及抵质押担保|普通商品用房|1669543.93|2022-08-31
浙江海锂子新能源有限公司|浙江省宁波市|保证担保||4854869.62|2022-08-27
淄博齐环新材料有限公司|山东省淄博市临淄区|保证担保||1645061.68|2022-08-31
淄博畅凯经贸有限公司|山东省淄博市临淄区|保证担保及抵质押担保|普通商品用房|6545454.12|2022-08-31
浙江丰和海洋工程有限公司|浙江省舟山市岱山县|保证担保及抵质押担保|工业用地|4301147.42|2022-12-30
淄博新刚物流有限公司|山东省淄博市临淄区|保证担保||2009640.07|2022-08-31
舟山市海之实业开发有限公司|浙江省舟山市|保证担保||1728587.11|2022-12-30
淄博宇绍经贸有限公司|山东省淄博市临淄区|保证担保||4979588.44|2022-08-31
山东荣瑞达智能交通技术有限公司|山东省淄博市张店区|保证担保||1919881.88|2022-08-31
湖州兴合能源有限责任公司|浙江省湖州市|保证担保||12143502.67|2022-08-26
山东居之安装饰有限公司|山东省淄博市张店区|保证担保||3796676.2|2022-08-31
莱州森川工贸有限公司|山东省烟台市莱州市|保证担保||4176180.91|2022-08-24
淄博茂宇商贸有限公司|山东省淄博市张店区|保证担保||2695107.31|2022-08-31
山东巨王管业有限公司|山东省淄博市桓台县|保证担保及抵质押担保|商铺、商场|9265848.83|2022-08-31
山东康特医疗器械有限公司|山东省烟台市栖霞市|保证担保及抵质押担保|商业用地|5225435.59|2022-08-24
烟台银丰包装材料有限公司|山东省烟台市牟平区|保证担保及抵质押担保|非标准工业厂房及仓储|4621366.53|2022-08-24
烟台天一金属制品有限公司|山东省烟台市蓬莱区|保证担保||32901094.52|2022-08-24
山东华臻重工有限公司|山东省烟台市|保证担保||28239653.44|2022-08-24
烟台首一化学制品有限公司|山东省烟台市福山区|保证担保||7820035.58|2022-08-24
栖霞市金德水产冷藏有限公司|山东省烟台市栖霞市|保证担保||5581622.06|2022-08-24
淄博明盛贸易有限公司|山东省淄博市临淄区|保证担保及抵质押担保|普通商品用房|8339742.71|2022-08-31
莱州川宇工贸有限公司|山东省烟台市莱州市|保证担保||8196888.73|2022-08-24
黄石市龙洋汽车贸易有限公司|湖北省黄石市|抵质押担保|商铺、商场|12256928.36|2024-08-09
莱州市润工机械有限公司|山东省烟台市莱州市|保证担保||4614096.83|2022-08-24
淄博桓台巨王钢管有限公司|山东省淄博市桓台县|保证担保及抵质押担保|工业用地|13791303.91|2022-08-31
高青青苑蓝天板纸有限责任公司|山东省淄博市高青县|保证担保||20888914.54|2022-08-31
广饶龙德化工有限公司|山东省东营市广饶县|保证担保||5109855.72|2022-08-31
山东省惠民县安达纺织有限公司|山东省滨州市惠民县|保证担保及抵质押担保|工业用地|8115556.28|2022-08-31
邹平县佳鸣精棉有限公司|山东省滨州市邹平市|保证担保||22055369.45|2022-08-31
邹平县金桥物资有限公司|山东省滨州市邹平市|保证担保||5154772.93|2022-08-31
邹平京鼎塑料制品有限公司|山东省滨州市邹平市|保证担保||6806025.73|2022-08-31
山东省博兴县滨博混凝土有限公司|山东省滨州市博兴县|保证担保||2997342.02|2022-08-31
新疆锦华肥业有限公司|新疆维吾尔自治区伊犁哈萨克自治州奎屯市|保证担保及抵质押担保|标准工业厂房及仓储|27105441.6|2022-02-28
柳州亚非林木业有限公司|广西壮族自治区柳州市|保证担保及抵质押担保|商业用地|23035942.62|2021-11-10
来宾市合众贸易有限责任公司|广西壮族自治区来宾市|保证担保及抵质押担保|居住用地|2381517.69|2022-08-24
广西贺达纸业有限责任公司|广西壮族自治区贺州市|保证担保||12665181.6|2022-08-23
奎屯金诚源置业发展有限公司|新疆维吾尔自治区伊犁哈萨克自治州奎屯市|保证担保及抵质押担保|商铺、商场|11697576.36|2022-02-28
瑞安市东威进出口贸易有限公司|浙江省温州市瑞安市|保证担保||13784409.19|2022-08-22
浙江雅皮士时装有限公司|浙江省温州市瓯海区|保证担保及抵质押担保|普通商品用房|6264007.49|2022-08-22
齐河县和众再生资源回收有限公司|山东省德州市齐河县|保证担保||4581070.54|2022-08-31
齐河益生园菌业有限公司|山东省德州市齐河县|保证担保||4205826.43|2022-08-31
山西双鹰动物药业有限公司|山西省长治市屯留区|抵质押担保|非标准工业厂房及仓储|33708687.83|2022-02-28
德州市东浩节能材料有限公司|山东省德州市德城区|保证担保||9688111.93|2022-08-31
德州海林农贸有限公司|山东省德州市德城区|保证担保||13514225.12|2022-09-30
德州精诚科技开发有限公司|山东省德州市陵城区|保证担保及抵质押担保|居住用房在建工程|8719314.18|2022-08-31
浙江三志纺织有限公司|浙江省湖州市长兴县|保证担保||8479405.67|2022-08-23
栖霞市恒金商贸有限公司|山东省烟台市栖霞市|保证担保||7863732.4|2022-08-24
宁波市江北腾声贸易有限公司|浙江省宁波市江北区|保证担保||1663835.68|2022-08-23
日照市玛雅包装有限公司|山东省日照市东港区|保证担保||20709669.71|2022-08-24
宁海县国大百货纺织品有限公司|浙江省宁波市宁海县|保证担保||4808558.5|2022-12-30
日照铸福实业有限公司|山东省日照市岚山区|保证担保||42420469.84|2022-08-24
宁波升日太阳能电源有限公司|浙江省宁波市|保证担保||194405494.1|2022-12-30
浙江万通包装有限公司|浙江省湖州市长兴县|保证担保||13358108.26|2022-08-23
宁波信诚儿童用品有限公司|浙江省宁波市|保证担保||21335550.0|2022-12-30
介休市煜业选煤有限公司|山西省晋中市介休市|保证担保||113054986.12|2022-08-31
宁波金阳环保科技有限公司|浙江省宁波市|保证担保||8877435.95|2022-12-30
浙江创佳数字技术有限公司|浙江省衢州市开化县|保证担保||195778955.0|2022-08-23
山东海瀚国际贸易有限公司|山东省日照市五莲县|保证担保||45590058.71|2022-08-24
浙江创亿光电设备有限公司|浙江省衢州市开化县|保证担保||162810389.7|2022-08-23
日照中港粮油有限公司|山东省日照市东港区|保证担保||91056216.82|2022-08-24
海宁新宏洋家具有限责任公司|浙江省嘉兴市海宁市|保证担保||21787186.39|2022-09-10
莱州市聚福机械有限公司|山东省烟台市莱州市|保证担保||11183901.5|2022-08-24
烟台市海发渔业有限公司|山东省烟台市海阳市|保证担保||15379769.89|2022-08-24
海阳聚力新型建材有限公司|山东省烟台市海阳市|保证担保||7210000.0|2022-08-24
浙江安吉邦化化工有限公司|浙江省湖州市安吉县|保证担保||3373784.99|2022-08-23
山西介休大佛寺煤业有限公司|山西省晋中市介休市|三种担保都有|采矿权,非上市公司股权,其他设备|555084799.37|2022-08-31
山东金石沥青股份有限公司|山东省日照市岚山区|保证担保||54644727.08|2022-08-24
江苏领航纤维有限公司|江苏省宿迁市|保证担保||70604923.19|2022-12-30
山东中港机械有限公司|山东省日照市五莲县|保证担保||36388737.83|2022-08-24
日照万洲国际贸易有限公司|山东省日照市东港区|保证担保||16627857.2|2022-08-24
日照金地矿业有限公司|山东省日照市东港区|保证担保||20209749.29|2022-08-24
日照欧地工贸有限公司|山东省日照市东港区|保证担保||45317547.85|2022-08-24
日照鼎天国际贸易有限公司|山东省日照市东港区|保证担保||36520626.16|2022-08-24
山东宜坤化工有限公司|山东省东营市广饶县|保证担保||50845534.06|2025-08-31
日照利保植物蛋白有限公司|山东省日照市岚山区|保证担保||57068700.0|2022-08-24
烟台双环物资有限公司|山东省烟台市芝罘区|保证担保||12269505.14|2022-08-24
包头市伊瑞煤炭有限公司|内蒙古自治区包头市东河区|信用担保||16022685.92|2022-08-31
烟台鸿泰进出口有限公司|山东省烟台市芝罘区|保证担保||21104184.63|2022-08-24
莱州市鹏建机械有限公司|山东省烟台市莱州市|保证担保||7252220.27|2022-08-24
栖霞市晓安果蔬有限公司|山东省烟台市栖霞市|保证担保||15849999.69|2022-08-24
烟台海邦工贸有限公司|山东省烟台市栖霞市|保证担保||10719994.45|2022-08-24
栖霞得鑫果蔬保鲜有限公司|山东省烟台市栖霞市|保证担保||20029799.99|2022-08-24
栖霞安强工贸有限公司|山东省烟台市栖霞市|保证担保||9429972.37|2022-08-24
山西省三晋建设开发有限责任公司|山西省晋中市榆次区|保证担保及抵质押担保|商业用房在建工程|50765140.21|2022-08-31
烟台永利进出口有限公司|山东省烟台市芝罘区|保证担保||37534967.97|2022-08-24
山东圣凯尔顿木业有限公司|山东省日照市莒县|保证担保||14681248.9|2022-08-24
山东阿掖山集团有限公司|山东省日照市岚山区|保证担保||79464258.0|2022-08-24
日照嘉禾利丰粮油有限责任公司|山东省日照市岚山区|保证担保||32078113.33|2022-08-24
栖霞市顺旺果品专业合作社|山东省烟台市栖霞市|保证担保||6668379.01|2022-08-24
烟台现代联合农副产品物流中心有限公司|山东省烟台市牟平区|保证担保及抵质押担保|商铺、商场|30860000.0|2022-08-24
海南龙盘园农业投资有限公司户抵债资产|海南省省直辖县级行政区划琼海市|||13251583.8|2023-12-31
栖霞市英磊建材有限公司|山东省烟台市栖霞市|保证担保||8821690.06|2022-08-24
烟台创进贸易有限公司|山东省烟台市芝罘区|保证担保||12130000.0|2022-08-24
烟台鸿兴国际贸易有限公司|山东省烟台市芝罘区|保证担保||53548093.25|2022-08-24
烟台市升浩经贸有限公司|山东省烟台市福山区|保证担保||18538816.26|2022-08-24
温州奥亚电子科技有限公司|浙江省温州市龙湾区|保证担保及抵质押担保|标准工业厂房及仓储,商铺、商场|19498609.2|2022-08-22
栖霞市振兴源矿业有限公司|山东省烟台市栖霞市|保证担保及抵质押担保|非标准工业厂房及仓储|11254568.13|2022-08-24
天虹电气有限公司|浙江省温州市乐清市|保证担保||4370210.89|2022-08-22
烟台泰丰宝鼎酒业有限公司|山东省烟台市|保证担保||21625136.31|2022-08-24
智信控股有限公司|浙江省温州市平阳县|保证担保及抵质押担保|标准工业厂房及仓储|42288560.62|2022-08-22
山东悦泰生物新材料有限公司|山东省淄博市张店区|保证担保||30916595.73|2022-08-31
栖霞市恒霖果蔬有限公司|山东省烟台市栖霞市|保证担保||13602154.18|2022-08-24
瑞安市中邦泵业有限公司|浙江省温州市瑞安市|保证担保||4582668.61|2022-08-22
新雅投资集团有限公司|浙江省温州市苍南县|保证担保||9662463.15|2022-08-22
济宁恒通交通工程有限公司|山东省济宁市任城区|保证担保||7670000.0|2022-09-30
烟台双宁经贸有限公司|山东省烟台市牟平区|保证担保及抵质押担保|居住用地|10174223.85|2022-08-24
山东润丰土木工程有限公司|山东省济宁市任城区|保证担保||25075426.57|2022-08-31
