债务人名称|所在地区|担保方式|资产类型|债权总额（元）|结束时间
江西省丰江王子投资有限公司|江西省上饶市余干县|保证担保及抵质押担保|非上市公司股权,居住用房在建工程,商铺、商场|33926903.39|2021-12-31
江西劲天实业有限公司|江西省景德镇市乐平市|保证担保及抵质押担保|商业用房在建工程|205792484.9|2021-12-31
天津市聚龙粮油有限公司|天津市北辰区|保证担保及抵质押担保|普通商品用房|87600418.24|2022-08-31
鼎立控股集团股份有限公司|浙江省金华市东阳市|保证担保及抵质押担保|上市公司流通A股股票（权）|548535822.22|2022-02-28
友和道通航空有限公司|湖北省武汉市黄陂区|保证担保||344104011.5|2021-12-31
甘肃万欣峪工贸有限公司|甘肃省兰州市城关区|保证担保及抵质押担保|高层办公楼,商铺、商场|63735357.53|2021-09-30
庆阳三和商贸有限公司|甘肃省庆阳市镇原县|保证担保及抵质押担保|商铺、商场|89742776.85|2021-09-30
中商联合财富投资基金（北京）有限公司|北京市朝阳区|保证担保||101946666.67|2021-12-31
安徽太平洋电缆股份有限公司|安徽省芜湖市无为市|保证担保及抵质押担保|非上市公司股权|103276833.7|2021-12-31
甘肃常盛商贸有限公司|甘肃省兰州市城关区|保证担保及抵质押担保|宾馆酒店|22015600.67|2021-09-30
古浪新苗精细化工（集团）有限公司|甘肃省武威市古浪县|保证担保及抵质押担保|工业用地|42873941.92|2021-09-11
甘肃禄乾商贸有限公司|甘肃省兰州市城关区|保证担保及抵质押担保|普通商品用房,商品林中的林木及林地使用权|8237501.86|2021-09-30
甘肃四海伟业商贸有限公司|甘肃省兰州市城关区|保证担保及抵质押担保|商铺、商场|21951113.06|2021-09-30
兰州逍邦商贸有限公司|甘肃省兰州市城关区|保证担保及抵质押担保|商铺、商场|8760386.62|2021-09-30
武威八冶钢结构股份有限公司|甘肃省武威市凉州区|保证担保及抵质押担保|工业用地|46297910.97|2021-09-30
利华能源储运股份有限公司|河北省廊坊市霸州市|保证担保及抵质押担保|非上市公司股权,其他车辆|55780895.97|2021-12-31
兰州聚朋商贸有限公司|甘肃省兰州市城关区|保证担保及抵质押担保|普通商品用房,商铺、商场|14419510.43|2021-09-30
安徽长风电缆集团有限公司|安徽省芜湖市无为市|保证担保||46800675.65|2021-12-31
深圳赢时通汽车服务有限公司|广东省深圳市罗湖区|保证担保及抵质押担保|轿车|52391333.33|2021-12-31
张掖市平山湖风力发电有限公司|甘肃省张掖市甘州区|保证担保及抵质押担保|非上市公司股权|53803487.24|2021-12-31
拉萨市锋电光伏发电有限公司|西藏自治区拉萨市曲水县|保证担保及抵质押担保|非上市公司股权,其他收费权|129287852.12|2021-12-31
深圳赢时通汽车服务有限公司|广东省深圳市罗湖区|保证担保及抵质押担保|非上市公司股权,轿车|37782044.94|2021-12-31
大庆市绪腾建筑安装工程有限公司|黑龙江省大庆市萨尔图区|保证担保及抵质押担保|高档公寓|72649844.7|2022-08-31
甘肃复强亿兴商贸有限公司|甘肃省兰州市七里河区|保证担保及抵质押担保|商品林中的林木及林地使用权|7031923.77|2021-09-30
深圳朴素资本管理有限公司|广东省深圳市|保证担保及抵质押担保|非上市公司股权,上市公司流通A股股票（权）|938000000.0|2022-02-28
彭海帆|天津市滨海新区|保证担保及抵质押担保|上市公司限售流通股|726602800.0|2022-12-30
陈德宏|广东省广州市天河区|保证担保及抵质押担保|上市公司流通A股股票（权）|292785833.33|2022-08-24
北京星恒动影文化传播有限公司|北京市|保证担保及抵质押担保|上市公司流通A股股票（权）|465019325.8|2022-09-01
深圳隆徽新能源投资合伙企业（有限合伙）|广东省深圳市|保证担保及抵质押担保|上市公司流通A股股票（权）|342501754.44|2022-08-24
甘肃金美商贸有限公司|甘肃省兰州市城关区|保证担保及抵质押担保|商铺、商场|7061996.43|2021-09-30
吉林粮食集团进出口有限公司|吉林省长春市|保证担保及抵质押担保|非标准工业厂房及仓储,工业用地|145672799.67|2021-12-31
延边经纬和信置业发展有限公司|吉林省延边朝鲜族自治州延吉市|保证担保及抵质押担保|商业用房在建工程|63873400.87|2021-12-31
延边经纬和信置业发展有限公司|吉林省延边朝鲜族自治州延吉市|保证担保及抵质押担保|商业用房在建工程|454771149.63|2021-12-31
重庆汇程铝业有限公司、重庆汉维金属材料有限公司|重庆市市辖区綦江区|保证担保||33923893.09|2021-12-31
吉林麦达斯铝业有限公司|吉林省辽源市|保证担保||154846244.9|2021-12-31
吉林麦达斯铝业有限公司|吉林省辽源市|保证担保||135863009.83|2021-12-31
青岛昌盛日电新能源控股有限公司|山东省青岛市|信用担保|非上市公司股权|628943698.63|2021-11-30
湖南裕田奥特莱斯置业有限公司|湖南省长沙市望城区|保证担保及抵质押担保|居住用地|1220511920.23|2023-09-01
上海春申汽配市场有限公司|上海市|保证担保及抵质押担保|商业用房在建工程|235800000.0|2022-08-26
香港福晟国际投资集团有限公司、万邦创富有限公司|香港特别行政区|保证担保及抵质押担保|非上市公司股权|904700000.0|2022-08-30
深圳市东部开发集团有限公司|广东省深圳市福田区|保证担保及抵质押担保|非上市公司股权|117985370.24|2022-08-30
广东凯业贸易有限公司|广东省揭阳市|保证担保及抵质押担保|工业用地,普通商品用房,其他用地,商业用地|878773961.56|2022-08-31
深圳市锦云投资控股合伙企业（有限合伙）|广东省深圳市|保证担保及抵质押担保|非上市公司股权|469083553.29|2022-08-31
黔东南州恒丰房地产有限责任公司|贵州省黔东南苗族侗族自治州凯里市|保证担保及抵质押担保|普通商品用房|52806964.52|2021-12-31
贵州复晟房地产开发有限公司|贵州省贵阳市清镇市|三种担保都有|普通商品用房,商铺、商场|77304747.15|2022-11-30
贵州力铭房地产开发有限公司|贵州省贵阳市云岩区|保证担保及抵质押担保|居住用房在建工程|249839530.81|2022-08-30
贵州华辉房地产开发有限公司|贵州省贵阳市花溪区|保证担保及抵质押担保|居住用房在建工程|60973120.6|2022-08-30
贵州蓝雁农牧有限责任公司|贵州省毕节市大方县|保证担保及抵质押担保|标准工业厂房及仓储|134879748.4|2022-08-30
黔南东升发展有限公司|贵州省黔南布依族苗族自治州都匀市|保证担保||318268457.1|2022-08-31
三都水族自治县月亮山投资开发有限公司|贵州省黔南布依族苗族自治州三都水族自治县|保证担保及抵质押担保|交易类应收账款|530017147.73|2022-08-31
贵阳云岩产业投资开发有限责任公司|贵州省贵阳市云岩区|保证担保及抵质押担保|交易类应收账款,商铺、商场|441222200.0|2022-08-30
遵义市新蒲发展集团有限责任公司|贵州省遵义市红花岗区|保证担保及抵质押担保|交易类应收账款|147278000.0|2022-08-30
贵州宝合置业管理有限责任公司|贵州省遵义市红花岗区|保证担保及抵质押担保|交易类应收账款|151722000.0|2022-08-30
凯里市格兰房地产开发有限责任公司|贵州省黔东南苗族侗族自治州凯里市|保证担保及抵质押担保|居住用房在建工程|419571986.88|2022-08-30
毕节市梧桐房地产开发有限公司|贵州省毕节市七星关区|保证担保及抵质押担保|普通商品用房|209705000.0|2022-08-30
遵义市红花岗区国有资产投资经营有限责任公司、贵州省遵义市市政工程建设总公司|贵州省遵义市红花岗区|保证担保及抵质押担保|居住用地|398994900.0|2022-08-30
贵州大地联创房地产开发有限公司|贵州省黔东南苗族侗族自治州凯里市|三种担保都有|非上市公司股权,居住用房在建工程|1401071176.0|2022-08-30
嘉峪关市兴盛啤酒花种植有限公司|甘肃省嘉峪关市|保证担保及抵质押担保|标准工业厂房及仓储,工业用地|19872786.77|2022-12-31
甘肃大河种植业有限责任公司|甘肃省兰州市城关区|保证担保及抵质押担保|商铺、商场|22800551.6|2022-12-31
甘肃迪珅贸易有限公司|甘肃省兰州市|保证担保及抵质押担保|多层办公楼,商铺、商场|228197100.38|2022-12-31
甘肃迪珅贸易有限公司|甘肃省兰州市城关区|保证担保及抵质押担保|商铺、商场|90778468.41|2022-12-31
兰州春利源商贸有限公司|甘肃省兰州市城关区|保证担保及抵质押担保|宾馆酒店|24269023.12|2022-12-31
兰州恒瑞特商贸有限公司|甘肃省兰州市城关区|保证担保及抵质押担保|商铺、商场|54511228.1|2022-12-31
秦安县云山广汇建材物流中心|甘肃省天水市秦安县|保证担保及抵质押担保|商铺、商场|1297305.31|2022-12-31
甘肃鑫缘矿业有限公司|甘肃省兰州市城关区|保证担保及抵质押担保|商铺、商场|8005984.67|2022-12-31
兰州嘉益通商贸有限责任公司|甘肃省兰州市城关区|保证担保及抵质押担保|工业用地|7095217.24|2022-12-31
甘肃鸿运新型保温建材有限责任公司|甘肃省嘉峪关市|保证担保及抵质押担保|工业用地|3014134.13|2022-12-31
甘肃盛世恒通商贸有限公司|甘肃省兰州市城关区|保证担保及抵质押担保|商铺、商场|37951703.83|2022-12-31
湖北华海船舶重工有限公司|湖北省黄冈市黄州区|保证担保及抵质押担保|非上市公司股权|126231506.85|2023-12-31
沈阳瑞信实业有限公司|辽宁省沈阳市沈河区|保证担保及抵质押担保|商铺、商场|932593844.69|2022-09-01
浙江森禾集团股份有限公司、内蒙古久和能源科技有限公司|浙江省杭州市江干区|保证担保及抵质押担保|商铺、商场|955757104.43|2022-09-01
沈阳瑞信实业有限公司|辽宁省沈阳市沈河区|保证担保及抵质押担保|商铺、商场|615193910.63|2022-09-01
沈阳瑞信实业有限公司|辽宁省沈阳市沈河区|保证担保及抵质押担保|商铺、商场|350228514.06|2022-09-01
上海沪储实业发展有限公司|上海市闵行区|保证担保及抵质押担保|非标准工业厂房及仓储,普通商品用房|9146336.74|2024-08-30
上海英立国际贸易有限公司|上海市|保证担保及抵质押担保|高层办公楼|28415386.2|2021-12-31
上海佳唯建设工程集团有限公司|上海市|保证担保及抵质押担保|非标准工业厂房及仓储|74649375.82|2021-12-31
上海龙德资源股份有限公司|上海市|保证担保及抵质押担保|商铺、商场|78299914.27|2021-12-31
安徽长江建设集团有限公司|安徽省安庆市迎江区|三种担保都有|商铺、商场|201494508.88|2022-03-01
扬州金阳光控股集团有限公司|江苏省扬州市邗江区|三种担保都有|别墅,多层办公楼,非上市公司股权,高档公寓,居住用地,商铺、商场,商业用地|360539174.22|2021-11-30
江苏国信股份有限公司|江苏省南京市玄武区|信用担保||109240039.44|2024-08-30
鑫辉薄板有限公司|四川省遂宁市船山区|保证担保及抵质押担保|工业用地|19513994.14|2022-08-31
山西金州化工有限责任公司|山西省吕梁市孝义市|保证担保及抵质押担保|化工、木材、非金属加工专用设备|470159633.3|2021-12-31
开封制药(集团)有限公司|河南省开封市禹王台区|保证担保及抵质押担保|非上市公司股权,原材料、半成品|244031666.67|2022-09-01
辅仁药业集团有限公司|河南省周口市鹿邑县|保证担保及抵质押担保|非上市公司股权,原材料、半成品|548277733.33|2022-09-01
开封制药(集团)有限公司|河南省开封市禹王台区|保证担保及抵质押担保|其他用地,原材料、半成品|265746875.0|2022-09-01
辅仁药业集团有限公司|河南省周口市鹿邑县|保证担保及抵质押担保|原材料、半成品|242146633.33|2022-09-01
曲靖市融顺商贸有限公司|云南省曲靖市麒麟区|抵质押担保|普通商品用房|12164400.0|2023-08-23
马龙县爱家乐商贸有限责任公司|云南省曲靖市麒麟区|抵质押担保|别墅,商铺、商场|6775900.0|2023-08-23
云南马龙双友牧业有限公司|云南省曲靖市马龙区|保证担保及抵质押担保|矿山、冶金、建筑专用设备|35364800.0|2023-08-23
昭通巨泰农产品有限公司|云南省昭通市昭阳区|保证担保及抵质押担保|商铺、商场|10312518.03|2023-08-23
云南昭阳威力淀粉有限公司|云南省昭通市昭阳区|保证担保及抵质押担保|标准工业厂房及仓储,工业用地|12105700.0|2023-08-23
云南绿晶种业有限公司|云南省楚雄彝族自治州禄丰县|保证担保及抵质押担保|多层办公楼,工业用地|3704559.18|2023-08-23
德宏州姐告宝瑞实业有限公司|云南省德宏傣族景颇族自治州瑞丽市|保证担保及抵质押担保|商铺、商场|14992267.75|2023-08-23
曲靖宇华装饰有限公司|云南省曲靖市麒麟区|保证担保及抵质押担保|商铺、商场|20249204.4|2023-08-23
曲靖市恒昌生产资料有限公司|云南省曲靖市麒麟区|保证担保及抵质押担保|商铺、商场|39700678.77|2023-08-23
